season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
1,1,1,0,Saturday,0,1,18.34,33.9982,80,14.412186468646864
1,1,4,0,Saturday,0,1,19.28,35.001400000000004,75,14.412186468646864
1,1,5,0,Saturday,0,2,19.28,33.001599999999996,75,6.0032
1,1,7,0,Saturday,0,1,17.4,33.001599999999996,86,14.412186468646864
1,1,8,0,Saturday,0,1,19.28,35.001400000000004,75,14.412186468646864
1,1,9,0,Saturday,0,1,23.04,39.001,76,14.412186468646864
1,1,10,0,Saturday,0,1,25.86,41.9974,76,16.997899999999998
1,1,12,0,Saturday,0,1,27.74,43.99720000000001,77,19.0012
1,1,13,0,Saturday,0,2,29.62,45.997,72,19.999499999999998
1,1,14,0,Saturday,0,2,29.62,45.997,72,19.0012
1,1,15,0,Saturday,0,2,28.68,45.0004,77,19.999499999999998
1,1,16,0,Saturday,0,2,27.74,43.99720000000001,82,19.999499999999998
1,1,17,0,Saturday,0,2,28.68,45.0004,82,19.0012
1,1,18,0,Saturday,0,3,27.74,43.99720000000001,88,16.997899999999998
1,1,19,0,Saturday,0,3,27.74,43.99720000000001,88,16.997899999999998
1,1,21,0,Saturday,0,2,26.8,43.000600000000006,87,12.998000000000001
1,1,22,0,Saturday,0,2,26.8,43.000600000000006,94,15.001299999999999
1,1,0,0,Sunday,0,2,29.62,45.997,88,19.999499999999998
1,1,1,0,Sunday,0,2,28.68,45.0004,94,16.997899999999998
1,1,2,0,Sunday,0,2,27.74,43.99720000000001,100,19.0012
1,1,4,0,Sunday,0,2,29.62,45.997,94,12.998000000000001
1,1,6,0,Sunday,0,3,27.74,43.99720000000001,77,19.999499999999998
1,1,7,0,Sunday,0,2,26.8,43.000600000000006,76,12.998000000000001
1,1,8,0,Sunday,0,3,26.8,43.000600000000006,71,15.001299999999999
1,1,9,0,Sunday,0,2,25.86,41.9974,76,15.001299999999999
1,1,10,0,Sunday,0,2,24.919999999999998,39.001,81,15.001299999999999
1,1,11,0,Sunday,0,2,24.919999999999998,37.9978,71,16.997899999999998
1,1,12,0,Sunday,0,2,24.919999999999998,37.9978,66,19.999499999999998
1,1,13,0,Sunday,0,2,24.919999999999998,39.001,66,8.9981
1,1,14,0,Sunday,0,3,24.919999999999998,39.001,76,12.998000000000001
1,1,15,0,Sunday,0,3,23.98,37.9978,81,11.0014
1,1,16,0,Sunday,0,3,23.98,37.9978,71,11.0014
1,1,17,0,Sunday,0,1,23.98,37.9978,56.99999999999999,12.998000000000001
1,1,18,0,Sunday,0,2,24.919999999999998,37.9978,46,22.0028
1,1,19,0,Sunday,0,1,23.04,35.001400000000004,42,30.002599999999997
1,1,21,0,Sunday,0,1,20.22,31.0018,44,22.0028
1,1,23,0,Sunday,0,1,18.34,31.0018,47,11.0014
1,1,0,0,Monday,1,1,18.34,29.002000000000002,44,23.9994
1,1,1,0,Monday,1,1,17.4,27.0022,44,27.999299999999998
1,1,4,0,Monday,1,1,15.52,25.0024,47,26.0027
1,1,5,0,Monday,1,1,15.52,25.0024,47,19.0012
1,1,6,0,Monday,1,1,14.580000000000002,23.0026,50,26.0027
1,1,7,0,Monday,1,1,14.580000000000002,25.0024,50,12.998000000000001
1,1,8,0,Monday,1,1,14.580000000000002,23.999200000000002,50,19.0012
1,1,9,0,Monday,1,1,15.52,25.0024,43,26.0027
1,1,11,0,Monday,1,1,17.4,27.9988,40,22.0028
1,1,12,0,Monday,1,1,18.34,29.998600000000003,35,19.999499999999998
1,1,13,0,Monday,1,1,19.28,29.998600000000003,35,19.0012
1,1,16,0,Monday,1,1,20.22,31.9984,30,16.997899999999998
1,1,17,0,Monday,1,1,19.28,31.0018,30,15.001299999999999
1,1,18,0,Monday,1,1,19.28,33.001599999999996,32,7.0015
1,1,19,0,Monday,1,1,17.4,33.001599999999996,47,14.412186468646864
1,1,20,0,Monday,1,1,17.4,31.0018,47,7.0015
1,1,21,0,Monday,1,1,16.46,29.002000000000002,64,8.9981
1,1,22,0,Monday,1,1,14.580000000000002,25.999000000000002,69,8.9981
1,1,23,0,Monday,1,1,16.46,29.998600000000003,55.00000000000001,7.0015
1,1,0,0,Tuesday,1,1,15.52,27.9988,55.00000000000001,7.0015
1,1,1,0,Tuesday,1,1,15.52,27.9988,59,7.0015
1,1,2,0,Tuesday,1,1,14.580000000000002,25.999000000000002,63,8.9981
1,1,6,0,Tuesday,1,1,13.64,25.999000000000002,74,7.0015
1,1,7,0,Tuesday,1,1,13.64,25.999000000000002,74,8.9981
1,1,8,0,Tuesday,1,1,14.580000000000002,25.999000000000002,69,11.0014
1,1,9,0,Tuesday,1,1,15.52,25.999000000000002,64,15.001299999999999
1,1,10,0,Tuesday,1,2,15.52,25.0024,69,22.0028
1,1,11,0,Tuesday,1,1,18.34,29.998600000000003,51,19.999499999999998
1,1,12,0,Tuesday,1,1,18.34,31.0018,51,11.0014
1,1,13,0,Tuesday,1,1,19.28,31.0018,56.00000000000001,12.998000000000001
1,1,14,0,Tuesday,1,1,20.22,33.001599999999996,52,15.001299999999999
1,1,15,0,Tuesday,1,1,21.160000000000004,33.9982,52,16.997899999999998
1,1,16,0,Tuesday,1,1,22.1,35.001400000000004,49,16.997899999999998
1,1,17,0,Tuesday,1,1,21.160000000000004,33.9982,48,15.001299999999999
1,1,19,0,Tuesday,1,1,19.28,33.001599999999996,48,7.0015
1,1,20,0,Tuesday,1,1,19.28,33.001599999999996,48,7.0015
1,1,21,0,Tuesday,1,1,18.34,33.9982,64,14.412186468646864
1,1,22,0,Tuesday,1,1,18.34,33.001599999999996,64,6.0032
1,1,23,0,Tuesday,1,1,17.4,31.0018,69,6.0032
1,1,1,0,Wednesday,1,1,15.52,29.002000000000002,74,6.0032
1,1,4,0,Wednesday,1,1,19.28,31.0018,48,15.001299999999999
1,1,5,0,Wednesday,1,1,18.34,31.0018,47,11.0014
1,1,6,0,Wednesday,1,1,17.4,29.002000000000002,47,15.001299999999999
1,1,7,0,Wednesday,1,1,16.46,27.9988,43,12.998000000000001
1,1,8,0,Wednesday,1,1,17.4,27.9988,40,19.999499999999998
1,1,9,0,Wednesday,1,1,18.34,29.002000000000002,37,22.0028
1,1,10,0,Wednesday,1,1,18.34,29.002000000000002,37,22.0028
